S.N.,page_number,x0,y0,x1,y1,width,height
1,3,357.32208251953125,143.66836547851562,426.9961853027344,213.34246826171875,512,512
2,3,187.9292755126953,131.19583129882812,282.73272705078125,225.99929809570312,696,696
3,5,149.76800537109375,116.3981704711914,220.62881469726562,187.25897216796875,512,512
4,5,231.52999877929688,116.3981704711914,302.39080810546875,187.25897216796875,512,512
5,5,312.6289978027344,116.3981704711914,383.48980712890625,187.25897216796875,512,512
6,5,394.3909912109375,116.3949966430664,473.0882568359375,187.25897216796875,864,778
7,7,140.94900512695312,130.56704711914062,224.54556274414062,187.25897216796875,174,118
8,7,232.3769989013672,130.56704711914062,315.97357177734375,187.25897216796875,174,118
9,7,326.2120056152344,116.3981704711914,397.07281494140625,187.25897216796875,512,512
10,7,407.9750061035156,116.3981704711914,478.8358154296875,187.25897216796875,512,512
