S.N.,page_number,x0,y0,x1,y1,width,height
1,3,150.88473510742188,206.31732177734375,185.23992919921875,239.998291015625,347,341
2,3,218.79830932617188,214.56134033203125,358.54827880859375,229.40977478027344,1411,150
3,8,402.75445556640625,357.4999084472656,445.7926940917969,400.53814697265625,299,299
4,8,451.77423095703125,357.65985107421875,494.8124694824219,400.55413818359375,299,298
5,8,402.75445556640625,412.8050842285156,445.7926940917969,455.84332275390625,299,299
6,8,451.77423095703125,412.693115234375,494.8124694824219,455.7313537597656,299,299
7,8,402.75445556640625,468.1102600097656,445.7926940917969,511.14849853515625,299,299
8,8,451.77423095703125,467.870361328125,494.8124694824219,510.9085998535156,299,299
9,9,107.94886779785156,109.48100280761719,127.36880493164062,128.90093994140625,211,211
10,9,129.62918090820312,109.48100280761719,149.0491180419922,128.90093994140625,211,211
11,9,151.30947875976562,109.48100280761719,170.7294158935547,128.90093994140625,211,211
12,9,172.98977661132812,109.48100280761719,192.4097137451172,128.90093994140625,211,211
13,9,194.67007446289062,109.48100280761719,214.0900115966797,128.90093994140625,211,211
14,9,216.35040283203125,109.48100280761719,235.7703399658203,128.90093994140625,211,211
15,9,238.03070068359375,109.48100280761719,257.45062255859375,128.90093994140625,211,211
16,9,107.94886779785156,130.8123321533203,127.36880493164062,150.23226928710938,211,211
17,9,129.62918090820312,130.8123321533203,149.0491180419922,150.23226928710938,211,211
18,9,151.30947875976562,130.8123321533203,170.7294158935547,150.23226928710938,211,211
19,9,172.98977661132812,130.8123321533203,192.4097137451172,150.23226928710938,211,211
20,9,194.67007446289062,130.8123321533203,214.0900115966797,150.23226928710938,211,211
21,9,216.35040283203125,130.8123321533203,235.7703399658203,150.23226928710938,211,211
22,9,238.03070068359375,130.8123321533203,257.45062255859375,150.23226928710938,211,211
23,9,107.94886779785156,152.14364624023438,127.36880493164062,171.56358337402344,211,211
24,9,129.62918090820312,152.14364624023438,149.0491180419922,171.56358337402344,211,211
25,9,151.30947875976562,152.14364624023438,170.7294158935547,171.56358337402344,211,211
26,9,172.98977661132812,152.14364624023438,192.4097137451172,171.56358337402344,211,211
27,9,194.67007446289062,152.14364624023438,214.0900115966797,171.56358337402344,211,211
28,9,216.35040283203125,152.14364624023438,235.7703399658203,171.56358337402344,211,211
29,9,238.03070068359375,152.14364624023438,257.45062255859375,171.56358337402344,211,211
30,9,107.94886779785156,173.47496032714844,127.36880493164062,192.8948974609375,211,211
31,9,129.62918090820312,173.47496032714844,149.0491180419922,192.8948974609375,211,211
32,9,151.30947875976562,173.47496032714844,170.7294158935547,192.8948974609375,211,211
33,9,172.98977661132812,173.47496032714844,192.4097137451172,192.8948974609375,211,211
34,9,194.67007446289062,173.47496032714844,214.0900115966797,192.8948974609375,211,211
35,9,216.35040283203125,173.47496032714844,235.7703399658203,192.8948974609375,211,211
36,9,238.03070068359375,173.47496032714844,257.45062255859375,192.8948974609375,211,211
37,9,284.5110168457031,111.65122985839844,365.6749572753906,192.81517028808594,63,63
38,9,368.906494140625,111.8821029663086,372.969482421875,192.7963104248047,47,936
39,18,122.62483215332031,95.91482543945312,224.74853515625,198.0385284423828,224,224
40,18,227.5202178955078,95.91791534423828,232.63034057617188,197.97853088378906,72,1438
41,18,252.07583618164062,95.91482543945312,354.19952392578125,198.0385284423828,224,224
42,18,356.9712219238281,95.91791534423828,362.08135986328125,197.97853088378906,72,1438
43,18,381.5278625488281,95.91482543945312,483.65155029296875,198.0385284423828,224,224
44,18,486.4232177734375,95.91791534423828,491.5333557128906,197.97853088378906,72,1438
45,21,114.98335266113281,144.27305603027344,135.18939208984375,164.47909545898438,107,107
46,21,139.3271942138672,144.52565002441406,159.53323364257812,164.731689453125,107,107
47,21,163.23049926757812,144.27305603027344,183.43653869628906,164.47909545898438,107,107
48,21,187.623291015625,144.52565002441406,207.82933044433594,164.731689453125,107,107
49,21,211.4776611328125,144.27305603027344,231.68370056152344,164.47909545898438,107,107
50,21,235.91940307617188,144.52565002441406,256.1254577636719,164.731689453125,107,107
51,21,259.72479248046875,144.27305603027344,279.93084716796875,164.47909545898438,107,107
52,21,283.5628662109375,144.52565002441406,303.7689208984375,164.731689453125,107,107
53,21,307.9719543457031,144.27305603027344,328.1780090332031,164.47909545898438,107,107
54,21,331.85894775390625,144.52565002441406,352.06500244140625,164.731689453125,107,107
55,21,356.2191162109375,144.27305603027344,376.4251708984375,164.47909545898438,107,107
56,21,380.1550598144531,144.52565002441406,400.3611145019531,164.731689453125,107,107
57,21,404.46624755859375,144.27305603027344,424.67230224609375,164.47909545898438,107,107
58,21,428.4511413574219,144.52565002441406,448.6571960449219,164.731689453125,107,107
59,21,452.7134094238281,144.27305603027344,472.9194641113281,164.47909545898438,107,107
60,21,476.74725341796875,144.52565002441406,496.95330810546875,164.731689453125,107,107
61,21,114.98335266113281,176.1086883544922,135.18939208984375,196.31472778320312,107,107
62,21,139.3271942138672,175.8528594970703,159.53323364257812,196.05889892578125,107,107
63,21,163.23049926757812,176.1086883544922,183.43653869628906,196.31472778320312,107,107
64,21,187.623291015625,175.8528594970703,207.82933044433594,196.05889892578125,107,107
65,21,211.4776611328125,176.1086883544922,231.68370056152344,196.31472778320312,107,107
66,21,235.91940307617188,175.8528594970703,256.1254577636719,196.05889892578125,107,107
67,21,259.72479248046875,176.1086883544922,279.93084716796875,196.31472778320312,107,107
68,21,283.5628662109375,175.8528594970703,303.7689208984375,196.05889892578125,107,107
69,21,307.9719543457031,176.1086883544922,328.1780090332031,196.31472778320312,107,107
70,21,331.85894775390625,175.8528594970703,352.06500244140625,196.05889892578125,107,107
71,21,356.2191162109375,176.1086883544922,376.4251708984375,196.31472778320312,107,107
72,21,380.1550598144531,175.8528594970703,400.3611145019531,196.05889892578125,107,107
