S.N.,page_number,x0,y0,x1,y1,width,height
1,4,141.8351287841797,123.90453338623047,162.35386657714844,144.34642028808594,266,265
2,4,143.73074340820312,125.56958770751953,164.24948120117188,146.011474609375,266,265
3,4,144.93470764160156,126.4917984008789,166.70864868164062,148.16326904296875,283,281
4,4,432.12017822265625,123.95577239990234,453.91973876953125,145.65286254882812,283,282
5,6,137.9865264892578,118.69776153564453,238.86819458007812,230.73548889160156,546,607
6,6,246.32545471191406,118.16084289550781,344.94012451171875,233.36044311523438,622,726
7,6,364.567626953125,116.90802001953125,476.1280822753906,235.2098388671875,623,660
8,6,379.7803955078125,228.2296905517578,404.74725341796875,255.9413299560547,140,156
9,6,392.18927001953125,234.3746337890625,404.5096435546875,255.82217407226562,70,121
10,6,380.01904296875,234.01661682128906,392.6376953125,255.6431427001953,72,122
11,6,380.2576599121094,227.75259399414062,404.5091247558594,241.74288940429688,137,79
12,7,152.0570068359375,124.52761840820312,463.3100280761719,567.552001953125,548,780
